Iteration,Page_1,Page_2,Page_3,Page_4,Page_5,Page_6,Page_7,Page_8,Page_9,Page_10,Page_11
78,0.0327815,0.384401,0.342911,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
79,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
80,0.0327815,0.384401,0.342911,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
81,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
82,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
83,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
84,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
85,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
86,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
87,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
88,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
89,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
90,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
91,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
92,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
93,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
94,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
95,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
96,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
97,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
98,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
99,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
100,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
